NegativeStorySentences,Story.thisRepN,Story.thisTrialN,Story.thisN,Story.thisIndex,GetReady_Text.started,GetRead_Cross.started,StorySentence_Text.started,participant,session,date,expName,psychopyVersion,frameRate,
I have an exam coming up.,0,0,0,0,8.586258800001815,8.586258800001815,11.606044000014663,533698,001,2023-08-08_14h15.07.738,Dashboard,2023.1.2,209.80502789976265,
,,,,,,,14.600683299824595,,,,,,,
